arrival_ts,predicted_arrival,diff
19415,19415.735632183907,-0.7356321839070006
19610,19609.285714285714,0.714285714286234
19917,19914.974025974025,2.0259740259753016
20193,20192.88888888889,0.11111111110949423
20509,20508.74074074074,0.2592592592591245
20817,20816.87012987013,0.1298701298692322
21110,21110.759493670885,-0.7594936708846944
21415,21415.15625,-0.15625
21716,21714.74074074074,1.2592592592591245
22005,22004.23943661972,0.7605633802813827
22314,22312.928571428572,1.071428571427532
22618,22618.7012987013,-0.7012987013004022
22905,22904.708333333332,0.2916666666678793
23210,23210.183333333334,-0.18333333333430346
23518,23517.1,0.9000000000014552
23822,23822.51388888889,-0.5138888888905058
24113,24111.72,1.2799999999988358
24410,24409.585714285713,0.4142857142869616
24708,24707.033333333333,0.9666666666671517
24996,24996.075,-0.0750000000007276
25307,25306.372881355932,0.6271186440681049
25623,25622.576923076922,0.42307692307804246
25922,25922.115942028984,-0.11594202898413641
26212,26212.46551724138,-0.4655172413804394
26504,26503.41772151899,0.5822784810115991
26795,26794.779411764706,0.22058823529368965
27099,27098.747252747253,0.25274725274721277
27404,27405.386666666665,-1.3866666666654055
27715,27714.987012987014,0.012987012985831825
27987,27987.0,0.0
28309,28309.19512195122,-0.19512195121933473
28604,28603.81818181818,0.18181818181983544
